Year,United States,Russia,Iran,China,Canada,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Cameroon,Chile,Colombia,Congo,Cote d'Ivoire,Croatia,Cuba,Czechia,Czechoslovakia,Denmark,East Timor,Ecuador,Egypt,Equatorial Guinea,France,Gabon,Georgia,Germany,Ghana,Greece,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Libya,Malaysia,Mexico,Moldova,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Qatar,Romania,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,Vietnam,World,Yemen,Yugoslavia
1958,12.1846716,,0.032535266,0.017125506,0.404087184,0,0.00151745,0.004835754,0,0.033437243,0,0.032801328,,0,0,0.000130067,,0.006929528,0.000226059,,0.012509461,0.003428745,0,,0.018630842,0.035898214,,,,,,0.047930666,0,,0,0,,0.064410808,,,0.028049666,,0,0.015435336,0,0.090483365,0.009321478,0,0,0.198582444,0.014955473,,,0,,0,0,0.158113332,,4.34E-05,,0.000390201,0.008369476,0,0,0,0,0.01444765,,0.01709203,,0.012035655,0,0.334969794,0,,,,,,0,0.015719209,0,0,0.001127248,,,0,0.028682225,0.000260134,0,,1.045341972,0,0,0.001861619,,0.17629398,,15.0265692,,0.001818804
1959,13.30703712,,0.039707017,0.019943626,0.499216212,0,0.001734228,0.005275368,0,0.033244186,0,0.045121824,,0,0,0.000130067,,0.006010305,0.000263736,,0.017805132,0.009509052,0,,0.024841121,0.017542201,,,,,,0.057224912,0,,0,0,,0.150240528,,,0.0314019,,0,0.013747739,0,0.096683231,0.014480806,0,0,0.234730206,0.020604416,,,0,,0,0,0.19629293,,0.000390201,,0.000216779,0.007947485,0,0,0,0,0.017555105,,0.016890948,,0.013289368,0,0.374942124,0,,,,,,0,0.016195549,0,0,0.001127248,,,0,0.030888549,0.000260134,0,,1.317090024,0,0,0.002404591,,0.188094769,,16.7748336,,0.00197696
1960,14.10790788,,0.041543687,0.022761748,0.625562064,0,0.001864296,0.005714982,0,0.0533992,0,0.058762375,,0,0,8.67E-05,,0.005091081,0.000226059,,0.022308538,0.009829069,0,,0.034073741,0.018265591,,,,,,0.055381424,0,,0,0,,0.10963706,,,0.036225644,,0,0.014077027,0.005816419,0.105397729,0.026143492,0,0,0.24739344,0.029707745,,,0.040797724,,0,0,0.203347858,,0.000346846,,0.00091047,0.011604735,0.004258043,0,0,0,0.025545705,,0.016689865,,0.017207225,0,0.408668774,0,,,,,,0,0.016628585,0,0,0.001083893,,,0,0.033138137,0.00030349,0,,1.68620724,0,0,0.003063914,,0.206670924,,18.26036532,,0.002095578
1961,14.56196472,,0.042986783,0.025579869,0.78434982,0,0.001864296,0.009583585,0,0.091006445,0,0.06224252,,0,0,0.000130067,,0.005161791,0.001883827,,0.021974953,0.009600486,0,,0.049723643,0.018853344,,,,,,0.054152435,0,,0,0,,0.154478088,,,0.039477658,,0,0.01333613,0.004477387,0.111337463,0.027617587,0,0.00012909,0.263356758,0.045516658,,,0.042531952,,0,0,0.218287692,,0.000346846,,0.000390201,0.015789474,0.004301053,0,0,0,0.031074556,,0.016890948,,0.023005652,0,0.439776288,4.34E-05,,,,,,0,0.016671888,0,0,0.001604161,,,0,0.03599338,0.00030349,0,,2.19531132,0,0.00364188,0.003180265,,0.219458855,,19.61796456,,0.002728205
1962,15.24576096,,0.046004164,0.02839799,1.132424136,0,0.001864296,0.015562336,0,0.114983964,8.28E-05,0.065402647,,0,0,0.000130067,,0.005232501,0.002147563,,0.021307781,0.009554769,0,,0.065000934,0.02676542,,,,,,0.045895147,0,,0,0,,0.182600028,,,0.050808514,,0,0.013994705,0.008954774,0.1172772,0.027964433,0,0.000473331,0.274408308,0.058074376,,,0.057446316,,0,0,0.224512632,,0.000390201,,0.000780403,0.017547767,0.004086,8.67E-05,0,0,0.03829838,,0.017293112,,0.02573248,0,0.520043328,0.000520269,,,,,,0,0.01740805,0,0,0.001647517,,,0,0.036772081,0.00030349,0,,2.73664836,0,0.00728376,0.004615263,,0.232830094,,21.46318056,,0.003756225
1963,16.2024066,,0.049808693,0.031216111,1.33662204,0,0.001864296,0.017540598,0,0.131509519,0.000124196,0.067962751,,0.002167786,0,0.000173423,,0.005091081,0.002034534,,0.020974197,0.009051886,0,,0.063427662,0.031738723,,,,,,0.042745856,0,,0,0.002254497,,0.18726133,,,0.076759441,,0,0.025190467,0.011214391,0.121309272,0.031432892,0,0.000430301,0.27889799,0.078597511,,,0.065857324,,0,0,0.25314732,,0.000476913,,0.000693691,0.020079709,0.004387074,0.001344027,0,0,0.047983955,,0.017695277,,0.03081002,0.003815302,0.574682904,0.000650336,,,,,,0,0.017451353,0,0,0.002211141,,,0,0.03599338,0.00030349,0,,3.343605696,0,0.010925639,0.006166612,,0.251720352,,23.4846144,,0.007551989
1964,17.1196488,,0.052126391,0.034034234,1.57528944,0,0.001864296,0.035344966,0,0.144830362,0.000124196,0.070562851,,0.002167786,0,0.000130067,,0.004949663,0.003202507,,0.022183443,0.007908972,0,,0.05382243,0.037706688,,,,,,0.03921251,0,,0,0.002254497,,0.196083144,,,0.119170789,,0,0.032270141,0.013474006,0.118404432,0.032950339,0,0.001247872,0.30176856,0.085465656,,,0.072664171,,0,0,0.290496924,,0.000476913,,0.000433557,0.029363497,0.004301053,0.002341208,0,0,0.060333062,,0.01801701,,0.038583047,0.003425101,0.622673892,0.028007788,,,,,,0,0.017451353,0,0,0.007327115,,,0,0.047111526,0.000346846,0,,4.04089704,0,0.014567519,0.006903503,,0.2738412,,25.65938304,,0.010833744
1965,17.71914024,,0.053744411,0.036852354,1.72541754,0,0.001864296,0.105287551,0,0.163016208,0.000165594,0.068962788,,0.002167786,0,0.000130067,,0.005798177,0.003014124,,0.02852157,0.009646202,0.002852606,,0.053159998,0.040961945,,,,,,0.037061773,0,,0,0.00212443,,0.194465178,,,0.179829299,,0,0.045606272,0.016737896,0.136830625,0.015824834,0,0.003098165,0.299389428,0.082905336,,,0.077780142,,0,0,0.308756736,,0.000563624,,0.000433557,0.061294097,0.004473095,0.004248859,0,0,0.071390768,,0.017574628,,0.043190449,0.003511812,0.696332592,0.044613025,,,,,,0,0.018577247,0,0,0.01344027,,,0,0.050788735,0.00030349,0,,4.75181208,0,0.018209398,0.007330123,,0.293359626,,27.49854744,,0.013047939
1966,19.0083204,,0.060610046,0.039670474,1.605027816,0,0.002341208,0.126828648,0,0.176723161,0.000165594,0.074963034,,0.002601343,0,0.000130067,,0.004454697,0.003503919,,0.032899882,0.009189037,0.004259371,,0.04694972,0.049687832,,,,,,0.041094403,0,,0,0.00242792,,0.198818302,,,0.224881898,,0,0.063922871,0.015608088,0.137090754,0.026316917,0,0.004087857,0.337494204,0.086684846,,,0.074398399,,0,0,0.314566668,,0.000433557,,0.000476913,0.122834358,0.004473095,0.007630605,0,0,0.080672771,,0.018378958,,0.043127762,0.003555168,0.750125988,0.049122018,,,,,,0,0.020396,0,0,0.019033157,,,0,0.059657299,0.000346846,0,,5.32113876,0,0.021851278,0.007136205,,0.30762828,,29.5885368,,0.015894762
1967,20.073222,,0.064108465,0.042488593,1.75283262,0.014827653,0.002861477,0.104496246,0,0.18541067,0.000165594,0.071882906,,0.002601343,0,0.000130067,,0.00530321,0.003428566,,0.036485924,0.009920502,0.012856267,,0.05179374,0.052038848,,,,,,0.039058882,0,,0.000693691,0.00242792,,0.21430463,,,0.294035652,,0,0.084174034,0.019499648,0.120355445,0.02263168,0,0.004690278,0.356872788,0.09156163,,,0.117407268,,0,0,0.341541396,,4.34E-05,,0.00030349,0.24584454,0.004344064,0.007847383,0,0,0.09411151,,0.017212679,,0.049145587,0.004855839,0.833858388,0.049252086,,,,,,0,0.023340645,0,0,0.022848458,,,0,0.065843662,0.000390201,0,,5.86020528,0,0.025493156,0.025209421,,0.337018086,,31.842486,,0.018267114
1968,21.34472868,,0.068568948,0.045306716,2.02428,0.072880945,0.003295034,0.150260065,0,0.20641513,0.000248392,0.065202635,,0.011706042,0,0.000130067,,0.004596115,0.002863418,,0.040238766,0.009737636,0.01977286,,0.062061404,0.054841982,,,,,,0.042553829,0,,0.00060698,0.00242792,,0.218888892,,,0.456781248,,0,0.110475846,0.025274223,0.18586593,0.03125947,0,0.00611027,0.399160296,0.098145288,,,0.144764712,,0,0,0.36644112,,0.00182094,,0.000520269,0.496330992,0.004430085,0.006373289,0,0,0.105613128,,0.019143072,,0.08017501,0.02224148,0.88386408,0.071060011,,,,,,0,0.027324576,0,0,0.03052242,,,0,0.069434341,0.000390201,0,,6.2940492,0,0.029135038,0.085285411,,0.347921496,,34.8320628,,0.023090898
1969,22.86477936,,0.203738983,0.055278529,2.37471966,0.087968736,0.003815302,0.127136376,0,0.207187344,0.010970632,0.059322402,,0.01344027,0,0.000130067,,0.003889021,0.004182097,,0.050913504,0.008731871,0.02051532,,0.07584822,0.060493464,,,,,,0.045319057,0,,0.00060698,0.003078255,,0.250632,,,0.654205752,,0,0.133155504,0.030504812,0.112898268,0.03880336,0,0.00611027,0.458946072,0.106395185,,,0.161586734,,0,0,0.41873058,,0.001907651,,0.000737047,0.769921452,0.004731159,0.002774765,0,0,0.130109558,,0.019505022,,0.122863968,0.036852354,0.970578252,0.075612359,,,,,,0,0.030745562,0,0.004335571,0.038716646,,,0,0.069434341,0.000390201,0,,6.74144172,0,0.032776916,0.203653332,,0.358062084,,38.2527288,,0.028863623
1970,20.5726428,,0.125836344,0.104132736,1.94458572,0.111987796,0.004248859,0.08776845,0.001864296,0.2107602,0.062294306,0.075883068,,0.023404212,0,0.000130067,,0.003606183,0.001507248,,0.002919645,0.0076869,0.018522403,,0.093526823,0.0449757,,,,,,0.046240801,0,,0.00060698,0.00294525,,0.265039704,,,0.432467082,,0,0.142787149,0.022782478,0.0460404,0.026675998,0,0.005766029,0.4529358,0.095869458,,,0.0696654,,0.010054799,0,0.397091052,,0.002081074,,0.000265275,1.004999976,0.004602127,0.0037962,0,0,0.104774134,,0.01431045,,0.1842957,0.037446304,0.782742744,0.0553014,,,,,,0,0.032477704,0,0.007370471,0.039800542,,,0,0.063963266,0.000216779,0,,6.75005004,0,0.0292383,0.394187202,,0.3080916,,35.139222,,0.038629807
1971,21.1557798,,0.3043584,0.135699102,2.12598,0.114242292,0.00546282,0.0925155,0.001864296,0.227757553,0.092976048,0.07564306,,0.03412242,0.016042949,0.000173423,,0.003747602,0.001507248,,0.004634936,0.0076167,0.012778114,,0.134349059,0.046816196,,,,,,0.046970514,0,,0.00060698,0.00294525,,0.275402448,,,0.5327901,,0,0.152501123,0.024142387,0.054809996,0.031635,0,0.005335729,0.4615272,0.098876808,,,0.071956796,,0.024213601,0.002983497,0.39305421,,0.002254497,,0.000512865,1.389000024,0.005849432,0.0070281,0,0,0.09489942,,0.017082451,,0.1900449,0.037446304,0.83650122,0.0461358,,,,,,0,0.001125894,0,0.00858443,0.04730108,,,0,0.067086,4.34E-05,0.000534082,,7.24297464,0,0.051632096,0.655066728,,0.29858112,,37.5883056,,0.045509627
1972,21.08718108,,0.410415624,0.175610617,2.4003,0.125471419,0.006286578,0.11722095,0.002471275,0.21650184,0.133467336,0.078523175,,0.042579752,0.016042949,0.000173423,,0.003889021,0.04019328,,0.006313731,0.015637049,0.008596896,,0.150868418,0.057187796,,,,,,0.044627753,0,,0.000737047,0.00246015,,0.289578996,,,0.6378687,,0,0.168183421,0.026481263,0.04059594,0.031977004,0,0.005335729,0.4891437,0.100583687,,,0.085055404,,0.096854404,0.004177833,0.408528792,,0.002818121,,0.000548235,1.852000056,0.009548338,0.0094221,0,0,0.10076112,,0.0164241,,0.201026693,0.041097776,0.855673128,0.052291796,,,,,,0,8.66E-05,0,0.009841746,0.054801617,,,0,0.0693387,0.000867114,0.000534082,,7.5498804,0,0.052404296,0.945211932,,0.29678292,,39.4397424,,0.049107697
1973,21.06800172,,0.453532572,0.21697344,2.571749784,0.135053035,0.008237585,0.155578493,0.002818121,0.235757318,0.169447673,0.090803671,,0.060373656,0.02214135,0.000130067,,0.004454697,0.061964636,,0.00722612,0.068287054,0.00867505,,0.150454404,0.059256,,,,,,0.040019033,0,,0.00121396,0.00197505,,0.290696148,,,0.7141482,,0,0.19843668,0.026411962,0.06292188,0.031122,0,0.002323624,0.528308964,0.10546047,,,0.0952812,,0.1549602,0.004177833,0.443901384,,0.002557987,,0.000663187,2.251999944,0.011440802,0.0144324,0,0,0.115039613,,0.0160776,,0.203931889,0.058870796,0.905892336,0.06156,,,,,,0,0.000129911,0,0.00858443,0.063039204,,,0,0.0665928,0.004942551,0.000534082,,8.05797936,0,0.06091605,1.026268272,,0.365594018,,41.3377236,,0.052547609
1974,20.14009812,,0.47059236,0.273212402,2.51839476,0.138738276,0.008801209,0.179868132,0.002948188,0.253752444,0.193327164,0.088243567,,0.074441304,0.0245322,8.67E-05,,0.002156639,0.064853532,,0.013904807,0.1482273,0.007033824,,0.140766354,0.0616518,,,,,,0.03410451,0,,0.00121396,0.002079,,0.29385504,,,0.741733164,,0,0.209673612,0.029894285,0.06496812,0.0285912,0,0.002839985,0.5273442,0.104525752,,,0.1002402,,0.139365,0.008709345,0.465343272,,0.003078255,,0.005933317,2.67000012,0.013032191,0.013474799,0,0,0.13193334,,0.0165627,,0.1974069,0.048363476,0.93497724,0.077907596,,,,,,0,0.000129911,0,0.007804027,0.068805511,,,0,0.0608391,0.008714498,0.000534082,,8.8866252,0,0.0610038,1.237701708,,0.38637324,,42.2103762,,0.057213238
1975,18.64949256,,0.490242708,0.321106212,2.5724358,0.12828955,0.013006713,0.2214828,0.002818121,0.269296902,0.207611885,0.094363819,,0.078335028,0.01625085,8.67E-05,,0.001803091,0.063932429,,0.015145656,0.1943838,0.000429845,,0.141014772,0.0536967,,,,,,0.03114725,0,,0.001344027,0.0017325,,0.28276038,,,0.6885072,,0,0.213295752,0.038270923,0.0851382,0.044289,0,0.002581804,0.502625664,0.098998729,,,0.1098504,,0.158517,0.010498546,0.473005224,,0.001994363,,0.0063666,2.89199988,0.022580528,0.0120726,0,0,0.1370736,,0.020443499,,0.203175893,0.07463178,1.0156401,0.092681996,,,,,,0,0.000129911,0,0,0.068285239,,,0,0.055295096,0.009148055,0.000534082,,9.86422248,0,0.058266,1.28882268,,0.375783804,,42.3003708,,0.058676184
1976,18.4975416,,0.499455468,0.366460164,2.5950672,0.110383632,0.015174498,0.278967132,0.002471275,0.25676334,0.245077992,0.085763466,,0.082103144,0.024740099,0.000173423,,0.001202061,0.065900225,,0.017444876,0.2563704,0.001445842,,0.16631131,0.0545328,,,,,,0.030763192,0,,0.001344027,0.013167,,0.267274044,,,0.7099551,,0,0.25034058,0.046491638,0.085868996,0.061731,0,0.002495744,0.5401035,0.101315203,,,0.1321488,,0.1634418,0.012498364,0.463877712,,0.003728591,,0.0088425,3.08999988,0.061117967,0.0224181,0,0,0.139779,,0.022176,,0.221157,0.04076244,1.107842868,0.1000521,,,,,,0,0.000129911,0,0.0011304,0.079601083,,,0,0.0622377,0.009278122,0.000801123,,10.94469948,0,0.068093996,1.364854932,,0.46585368,,44.124408,,0.06840283
1977,18.5782572,,0.5071824,0.439752204,2.72605464,0.111944441,0.015174498,0.26699557,0.003078255,0.2650257,0.279966384,0.09572387,,0.089053236,0.0292446,0.000173423,,0.00134348,0.069542748,,0.021714857,0.294208182,0.000390768,,0.156954492,0.0618291,,,,,,0.036101624,0,,0.001734228,0.015939,,0.292699368,,,0.7058376,,0,0.272114676,0.049653446,0.2068164,0.040287596,0,0.002452714,0.4738032,0.113954198,,,0.1440846,,0.172744189,0.011436326,0.491949936,,0.003728591,,0.0081351,3.09999996,0.09707477,0.0295146,0.094859575,0,0.1527048,,0.022020074,,0.2327796,0.05779026,1.17322524,0.1408014,,,,,,0,0.000173214,0,0.0012582,0.08176887,,,0,0.073157396,0.009971813,0.000839272,,11.7989208,0,0.136889993,1.426065948,,0.50851098,,45.9869796,,0.075005881
1978,18.5021946,,0.317714976,0.498168144,2.630728548,0.111207398,0.015347921,0.414067482,0.003078255,0.273428118,0.301411332,0.096563905,,0.097845516,0.03101175,0.000433557,,0.00134348,0.068537916,,0.028576021,0.288364068,0.001250458,,0.144906538,0.082109696,,,,,,0.028420426,0,,0.001734228,0.025641,,0.293161644,,,0.729765,,0,0.30236796,0.055457323,0.3975552,0.0417582,0,0.002194534,0.473238,0.107329903,,,0.1614582,,0.1751382,0.085160146,0.615811104,,0.003511812,,0.0095499,2.83799988,0.091397376,0.0357561,0.50739264,0.01089153,0.1569132,,0.0230076,,0.2496069,0.05510754,1.1812428,0.1941534,,,,,,0,0.000649554,0,0.0012132,0.079817864,,,0,0.087336893,0.012399733,0.000839272,,12.69205056,0,0.200421,1.36560852,,0.51312636,,47.5437816,,0.07650837
1979,19.0635012,,0.30602034,0.52646904,2.77406082,0.104053705,0.015781478,0.6787242,0.003078255,0.253122282,0.34695063,0.092483741,,0.108479988,0.03551625,0.000520269,,0.00134348,0.07494372,,0.031313189,0.302105664,0.005353521,,0.161881308,0.0938016,,,,,,0.032683493,0,,0.00151745,0.038808,,0.299286828,,,0.7308171,,0,0.268410204,0.068970823,0.576601164,0.0598842,0,0.002926045,0.4617306,0.098104648,,,0.2137842,,0.232047,0.105674814,0.74755674,,0.002904833,,0.0095499,2.97600012,0.056214763,0.0471276,0.738529272,0.0183222,0.1767528,,0.021275098,,0.2239488,0.16252812,1.12869216,0.238374,,,,,,0,0.000433036,0,0.001251,0.07461518,,,0,0.0902754,0.014307384,0.001297057,,13.8652146,0,0.214461,1.37896434,,0.57470472,,50.7492756,,0.073424308
1980,18.9032652,,0.163274544,0.517761036,2.5642062,0.066337387,0.011056231,0.554750964,0.010171733,0.293926428,0.398397168,0.078882563,,0.088048404,0.044248046,0.000442249,,0.001558221,0.09190026,,0.036605045,0.303228918,0.004485852,0,0.089759275,0.1002411,0.000552812,0,,0.000663374,,0.019597091,0,,0.004118367,0.075537,0,0.294494926,0.002764058,,0.665335764,0,0,0.237170448,0.040791712,0.6763554,0.043810196,0.034129645,0.005485876,0.4296825,0.090686448,0,,0.1392282,,0.176814,0.093993653,0.90414864,,0.002764058,0,0.0123795,2.878000056,0.03852257,0.056960096,0.896405544,0.023259015,0.2158308,0,0.022869,0,0.190206889,0.176649649,1.1654424,0.3325608,0,,,,0,0,0,0,0.0016839,0.047541798,,0,0,0.101997,0.016967671,0,,14.84059572,,0.263951964,1.31092884,,0.59162778,0,51.4200168,0,0.075828636
1981,18.7053372,,0.177409451,0.462247776,2.4777954,0.087344219,0.012161855,0.643134312,0.009729483,0.30582985,0.431799804,0.058433292,,0.0816426,0.049009878,0.000442249,,0.001244064,0.098012988,,0.032846,0.293576386,0.004186795,0,0.089759275,0.1098684,0.000663374,0,,0.000331687,,0.025162168,0,,0.002608299,0.084545996,0,0.27762228,0.002321808,,0.681572664,0,0,0.22951975,0.071214415,0.6858558,0.021204,0.05226102,0.005485876,0.481531464,0.086035846,0,,0.1601928,,0.10773,0.079172384,0.974084652,,0.003537994,0,0.014855399,2.671999812,0.04655444,0.0838926,0.891503568,0.02741544,0.2353698,0,0.026264699,0,0.1690524,0.16107498,1.226698452,0.3877596,0,,,,0,0,0,0,0.0016992,0.058598028,,0,0.00981202,0.112354189,0.018272876,0,,15.8670252,,0.310986,1.307998152,,0.594824508,0.0003474,52.311528,0,0.074289002
1982,17.39483424,,0.242967708,0.432858384,2.6008965,0.089555465,0.011056231,0.839160288,0.011056231,0.3427479,0.421131006,0.05385029,,0.128911572,0.063629449,0.000442249,,0.001224317,0.101655504,,0.046933286,0.2932254,0.002990568,0,0.051743588,0.1171296,0.000663374,0,,0.000331687,,0.025162168,0,,0.002745578,0.0925155,0,0.257133938,0.002211246,,0.598329,0,0.003340735,0.250624814,0.093364427,0.697183164,0.023256,0.076791701,0.003291526,0.494426664,0.083710562,0,,0.125685007,,0.114569996,0.099603972,1.03868316,,0.003316869,0,0.0159165,2.28499992,0.081771754,0.087398093,0.856092096,0.02999412,0.2567124,0,0.027564074,0,0.1558008,0.188349307,1.24028496,0.410981364,0,,,,0,0,0,0,0.001773,0.051964286,,0,0.050009648,0.136552493,0.0234937,0.001085559,,17.07418656,,0.333449964,1.329434568,,0.63468468,0.00066006,52.5509568,0,0.068745046
1983,15.7562568,,0.277679196,0.443017692,2.4462486,0.093977964,0.012161855,1.201653468,0.013267477,0.460031364,0.45746933,0.048994837,,0.135108036,0.070801866,0.000442249,,0.000680481,0.097594308,,0.063465772,0.3058263,0.003488996,0,0.04857561,0.128683807,0.000773936,0,,0.000331687,,0.022974151,0.001745554,,0.004118367,0.1084545,0,0.26004744,0.005859803,,0.6613668,0,0.003188883,0.241388028,0.1110879,0.795475728,0.016073999,0.082861546,0.00219435,0.443338164,0.086035846,0,,0.137997,,0.126882,0.240196702,1.047462012,,0.003537994,0,0.021221998,2.43299988,0.087545923,0.0990774,0.843677208,0.037255136,0.2531052,0,0.018156598,0,0.1523205,0.195056089,1.230791184,0.4013028,0,,,,0,0,0.002929743,0,0.002691,0.051964286,,0,0.058872114,0.1414701,0.020883288,0.002713898,,18.2677104,,0.293435982,1.37080008,,0.6249744,0.00227547,53.021016,0,0.062742791
